id,user_id,job_title,is role specific?,is resume specific?,question_type,question,description,Answer Prompt,Answer Function,Scoring Prompt,Scoring Function,company_name,created_at,updated_at
1,,product manager,Yes,No,role specific questions,Can you describe your experience with product lifecycles?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
2,,product manager,Yes,No,role specific questions,Can you explain how you gather and analyze information to be used for product development?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
3,,product manager,Yes,No,role specific questions,How do you prioritize your product backlog?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
4,,product manager,Yes,No,role specific questions,How do you work with cross-functional teams?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
5,,product manager,Yes,No,role specific questions,How have you handled a product failure?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
6,,product manager,Yes,No,role specific questions,What strategies do you use to keep up with market trends?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
7,,product manager,Yes,No,role specific questions,Can you describe a time when you helped to launch a new product?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
8,,product manager,Yes,No,role specific questions,How would you assess the usability of our current products?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
9,,product manager,Yes,No,role specific questions,What is your process for developing user personas?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
10,,product manager,Yes,No,role specific questions,How do you bridge the gap between the technical team and business stakeholders?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
11,,product manager,Yes,No,role specific questions,How do you make a business case for a new product or feature?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
12,,product manager,Yes,No,role specific questions,Can you provide an example of a product roadmap you've developed and executed?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
13,,product manager,Yes,No,role specific questions,How do you handle disagreements with stakeholders?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
14,,product manager,Yes,No,role specific questions,What is your experience with Agile methodology?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
15,,product manager,Yes,No,role specific questions,How do you balance short-term needs with long-term product strategy?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
16,,product manager,Yes,No,role specific questions,How do you measure product success?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
17,,product manager,Yes,No,role specific questions,Describe a time when you needed to pivot a product strategy.,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
18,,product manager,Yes,No,role specific questions,How do you ensure the voice of the customer is heard within the team?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
19,,product manager,Yes,No,role specific questions,How do you build relationships with key stakeholders?,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
20,,product manager,Yes,No,role specific questions,Tell me about your experience using data to drive product decisions.,,,,,,,2024-06-20 10:32:56,2024-06-20 10:32:56
