id,user_id,job_title,is role specific?,is resume specific?,question_type,question,description,Answer Prompt,Answer Function,Scoring Prompt,Scoring Function,company_name,created_at,updated_at
1,,tech lead,Yes,No,role specific questions,Can you walk me through a recent project you led from start to finish?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
2,,tech lead,Yes,No,role specific questions,How do you prioritize tasks and manage your time effectively?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
3,,tech lead,Yes,No,role specific questions,Can you discuss a difficult technical decision you had to make and how you resolved it?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
4,,tech lead,Yes,No,role specific questions,How do you handle conflicts within your team?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
5,,tech lead,Yes,No,role specific questions,What strategies do you use to mentor and develop junior team members?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
6,,tech lead,Yes,No,role specific questions,Can you explain how you approach technical debt and legacy code?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
7,,tech lead,Yes,No,role specific questions,What tools and technologies do you prefer to use in your projects?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
8,,tech lead,Yes,No,role specific questions,How do you stay updated with the latest industry trends and advancements?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
9,,tech lead,Yes,No,role specific questions,Can you discuss a time when you had to make trade-offs between technical debt and meeting project deadlines?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
10,,tech lead,Yes,No,role specific questions,How do you ensure that your team is following best practices and coding standards?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
11,,tech lead,Yes,No,role specific questions,Can you discuss a time when a project didn't go as planned and how you handled it?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
12,,tech lead,Yes,No,role specific questions,How do you approach code reviews and ensure code quality?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
13,,tech lead,Yes,No,role specific questions,What is your experience with agile development methodologies?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
14,,tech lead,Yes,No,role specific questions,Can you discuss a time when you had to lead a team through a major technical upgrade?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
15,,tech lead,Yes,No,role specific questions,How do you handle technical disagreements within your team?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
16,,tech lead,Yes,No,role specific questions,What strategies do you use to keep your team motivated and engaged?,,,,,,,2024-06-20 11:36:08,2024-06-20 11:36:08
